Date,Facility,Department,Target_Output,Actual_Output,Efficiency_Percent,Labor_Hours,Labor_Cost,Material_Cost,Utility_Cost,Total_Cost,Defect_Rate_Percent,Rework_Hours,Energy_Consumption_kWh,Downtime_Hours,Safety_Incidents,Employee_Count,Output_Variance,Cost_Per_Unit,Productivity,Month,Quarter,Weekday
2023-01-01,Plant A,Production,972.347139765763,874.7929273970632,89.96714153011233,87.47929273970632,2827.325441686773,9610.986716003457,588.5631383694115,13026.875296059641,2.7971774603587662,12.234755294981639,4904.692819745096,1.2312500617045903,0,16,-97.55421236869984,14.89138159223688,10.0,1,1,Sunday
2023-01-01,Plant A,Quality Control,1023.5989224687,893.9186876518088,87.33095239059743,89.39186876518087,2235.4928724681095,13339.157987804643,552.2967154764283,16126.94757574918,6.634302727906031,29.652635940072873,4602.472628970236,0.5105939367995812,0,30,-129.68023481689124,18.040732114139228,10.0,1,1,Sunday
2023-01-01,Plant A,Packaging,967.2265767010459,797.8609504105838,82.48956031914223,79.78609504105837,2488.0384251535643,7040.819630536347,450.2803762602273,9979.138431950138,3.036753959700663,12.114537002249374,3752.3364688352276,0.013353726611249122,1,23,-169.36562629046216,12.507365383422783,10.0,1,1,Sunday
2023-01-01,Plant A,Shipping,779.7804487300333,723.573299639453,92.79192634515005,72.3573299639453,2250.310543539442,9646.642413474658,395.1522279695122,12292.105184983611,2.8173972662433493,10.192967181654375,3292.935233079268,0.233120231885617,0,43,-56.20714909058029,16.98805800477796,10.0,1,1,Sunday
2023-01-01,Plant B,Production,1034.2736562379941,955.510260772437,92.3846657999541,95.5510260772437,2473.3311456431275,6650.187663632646,799.46684189218,9922.985651167954,3.0995670457750895,14.80834058095104,6662.223682434834,0.44122699952987016,0,43,-78.7633954655571,10.38501213283276,10.0,1,1,Sunday
2023-01-01,Plant B,Quality Control,1177.5496919186714,1069.4650898881882,90.8212279471304,106.94650898881882,3453.3104412185585,13595.792555906732,736.6204443822021,17785.723441507493,3.0188795971085822,16.14293169841674,6138.503703185018,0.401818801251301,0,37,-108.08460203048321,16.630485286216288,10.0,1,1,Sunday
2023-01-01,Plant B,Packaging,1246.6993609086114,1210.8159051971659,97.12172342133125,121.08159051971658,3742.992529057328,9380.454690552358,325.8453132358092,13449.292532845497,7.395403041235947,44.772358138359884,2715.37761029841,1.2401627989937203,0,27,-35.88345571144555,11.10762790207604,10.0,1,1,Sunday
2023-01-01,Plant B,Shipping,1030.0978156221188,956.3642573883312,92.84208187653938,95.63642573883313,2845.5377339489137,10168.787527923472,369.3517798996391,13383.677041772025,2.859207671373664,13.67222010676147,3077.9314991636593,2.8621383676481322,0,36,-73.73355823378756,13.994330024754982,10.0,1,1,Sunday
2023-01-01,Plant C,Production,1058.6118491291145,790.9825180576995,74.71884229412463,79.09825180576995,2211.2973723908426,4789.353743100304,374.5526981664928,7375.203813657639,6.2365399111024935,24.66497021425596,3121.2724847207733,0.1302088665616574,0,47,-267.629331071415,9.324104699264216,10.0,1,1,Sunday
2023-01-01,Plant C,Quality Control,1169.9842408124698,830.8361258446998,71.01259118394142,83.08361258446999,2077.5226626185167,7083.450056125274,613.6172972952422,9774.590016039034,0.9446806998243426,3.924374264011583,5113.477477460352,0.3139060465024641,0,46,-339.14811496776997,11.764762884018001,10.0,1,1,Sunday
2023-01-01,Plant C,Packaging,1377.237180242106,998.573568239773,72.50556277200073,99.8573568239773,2859.544830164934,14696.826860140345,444.45027234932144,18000.821962654598,3.6983213574695544,18.46522977212867,3703.752269577679,0.03758447776552253,0,16,-378.663612002333,18.026535585540675,10.0,1,1,Sunday
2023-01-01,Plant C,Shipping,911.6467953547974,622.3352634866949,68.26495378009776,62.233526348669486,1770.5881647791055,7059.468429912099,414.93683494949875,9244.993429640703,4.380999944482368,13.63225377392315,3457.8069579124895,0.08430956798241278,0,31,-289.3115318681025,14.855326336233484,10.0,1,1,Sunday
2023-01-01,Warehouse D,Production,839.6344313300613,837.9827495946959,99.80328561172163,83.79827495946958,2624.8182524923054,9498.78343770695,557.6296870419964,12681.23137724125,8.834989097149974,37.01784228134447,4646.914058683304,1.1318517342673489,0,17,-1.6516817353654005,15.133045857298061,10.0,1,1,Sunday
2023-01-01,Warehouse D,Quality Control,892.7679799641955,708.2955349579885,79.33702270397228,70.82955349579885,1838.8602591006834,10203.16196241092,544.93114042083,12586.953361932434,5.631666035954104,19.94441953820423,4541.09283684025,0.23454785986219884,0,49,-184.47244500620707,17.770764801840816,10.0,1,1,Sunday
